	id	title	local	subway	distance	walk
400	418	키ki	성수동	성수역	263.0	1
38	419	삼선 회사랑	성수동	성수역	31.0	1
374	420	이지더즈잇	성수동	성수역	266.0	1
396	421	dxyz	성수동	성수역	223.0	1
425	422	타치노미바이토라	성수동	성수역	351.0	2
205	423	데판야끼현	성수동	뚝섬역	318.0	1
436	424	데판야끼현	성수동	뚝섬역	318.0	1
161	425	타치노미바이토라	성수동	성수역	351.0	2
414	426	세이지	성수동	성수역	229.0	1
306	427	버치커피	성수동	성수역	680.0	3
471	428	퍼멘티드 고스트	성수동	서울숲역	469.0	2
50	429	늘봄	성수동	뚝섬역	206.0	1
204	430	곤카츠 GONKATSU	성수동	서울숲역	223.0	1
389	431	그룬트	성수동	성수역	615.0	3
159	432	후또후또	성수동	뚝섬역	56.0	1
278	433	큐씨오	성수동	뚝섬역	346.0	2
467	434	백이의	성수동	뚝섬역	346.0	2
416	435	모어	성수동	성수역	868.0	4
72	436	호루몬규상	성수동	뚝섬역	571.0	3
79	437	태양각	성수동	성수역	275.0	1
126	438	중국관	성수동	성수역	688.0	3
402	439	린 성수	성수동	성수역	755.0	3
294	440	뉴앳던 NEW AT DAWN	성수동	서울숲역	266.0	1
145	441	핫쵸 성수점	성수동	서울숲역	266.0	1
488	442	투데이호프	성수동	성수역	103.0	1
277	443	dooop	성수동	서울숲역	610.0	3
378	444	오일장	성수동	서울숲역	566.0	3
403	445	에보	성수동	뚝섬역	455.0	2
386	446	퀴바라	성수동	서울숲역	363.0	2
435	447	아카보시	성수동	성수역	409.0	2
390	448	모이크	성수동	성수역	271.0	1
438	449	야끼도리정	성수동	뚝섬역	128.0	1
169	450	오마카세 오사이초밥 성수점	성수동	성수역	370.0	2
412	451	라운지카니보	성수동	뚝섬역	390.0	2
409	452	바 차차	성수동	뚝섬역	437.0	2
393	453	pvglab	성수동	뚝섬역	271.0	1
433	454	현심야식당 성수점	성수동	뚝섬역	80.0	1
154	455	현심야식당 성수점	성수동	뚝섬역	80.0	1
216	456	더바투	성수동	성수역	258.0	1
485	457	머니뭐니 성수점	성수동	성수역	823.0	4
110	458	백리향중화요리	성수동	뚝섬역	298.0	1
475	459	제이앤제이펍	성수동	뚝섬역	82.0	1
484	460	성공is100	성수동	서울숲역	712.0	3
127	461	남경관	성수동	성수역	649.0	3
