	id	title	visitcount	reviewcount
135	240	미쁘동 서울숲	328.0	316.0
60	241	계월 곰탕	328.0	304.0
174	242	이로우	327.0	169.0
424	243	이로우	327.0	169.0
268	244	페이퍼 플레이트	325.0	322.0
33	245	뚝 다이닝	322.0	311.0
34	246	직화삼곱	321.0	218.0
19	247	성수부두	318.0	183.0
287	248	청키드	317.0	194.0
88	249	이가네양꼬치 성수직영점	316.0	290.0
241	250	리틀포레스트	314.0	185.0
104	251	장가	314.0	129.0
348	252	리틀포레스트	313.0	185.0
255	253	멜라	312.0	215.0
3	254	고우성수	312.0	303.0
138	255	스시오오모토	308.0	286.0
26	256	조개도	307.0	208.0
188	257	스시현	303.0	186.0
122	258	짬뽕품격	302.0	268.0
118	259	짬뽕타운	295.0	147.0
453	260	펀비어킹 성동 성수역점	294.0	144.0
457	261	땡기면땡비어	291.0	114.0
112	262	수향	289.0	147.0
170	263	도도한면 성수본점	288.0	281.0
111	264	라이홍	287.0	116.0
166	265	마씨	285.0	292.0
256	266	201호	284.0	244.0
47	267	반상회 성수	282.0	137.0
258	268	비스트리오	282.0	141.0
350	269	유스트레스	280.0	249.0
470	270	페스티발	280.0	134.0
165	271	토리아에즈	279.0	195.0
427	272	토리아에즈	279.0	195.0
391	273	오늘와인한잔 성수가든점	278.0	273.0
367	274	캐주얼성수	268.0	267.0
65	275	장맛손칼국수	266.0	-1.0
452	276	슈에뜨펍	263.0	254.0
428	277	오와리 뚝섬점	260.0	197.0
30	278	동구식당	252.0	162.0
141	279	소바마에	252.0	251.0
148	280	훈연	251.0	238.0
360	281	포도젝트	251.0	251.0
114	282	홍정원	246.0	177.0
121	283	자금성	245.0	86.0
105	284	성수차이나	245.0	126.0
332	285	숨은	245.0	235.0
380	286	성수로운	243.0	194.0
309	287	디플랫 성수	243.0	233.0
193	288	행운식당	243.0	105.0
137	289	도죠	242.0	225.0
449	290	금별맥주 성수점	240.0	233.0
61	291	땅코참숯구이 뚝섬직영점	231.0	144.0
395	292	구아바	226.0	225.0
192	293	한냄비	225.0	133.0
53	294	더즌오이스터 성수	222.0	133.0
70	295	외가집	222.0	109.0
364	296	기러기둥지 성수	221.0	217.0
408	297	El Patio	220.0	44.0
406	298	슬랙	219.0	210.0
15	299	뚝섬해물탕	218.0	108.0
474	300	상구비어 서울숲점	216.0	105.0
82	301	천미향	214.0	177.0
94	302	마봉양꼬치 성수점	214.0	172.0
123	303	신신원	212.0	103.0
178	304	아타리	212.0	148.0
185	305	신라다랑원 성수점	212.0	210.0
90	306	성운	207.0	143.0
93	307	성수장	206.0	113.0
358	308	미도림	206.0	106.0
52	309	찐짜솥뚜껑삼겹살갈비	203.0	143.0
429	310	찌마찌마	203.0	98.0
142	311	찌마찌마	202.0	98.0
98	312	오한수우육면가 성수역점	198.0	197.0
21	313	성수동 셋째집	197.0	196.0
125	314	승리원	197.0	185.0
85	315	고투웍 성수역점	195.0	187.0
501	316	덕	195.0	112.0
139	317	황금어장	195.0	97.0
369	318	원앤하프	187.0	85.0
222	319	갓잇 성수 홀리워터점	187.0	183.0
341	320	파티세리후르츠	186.0	179.0
458	321	소시맥분	179.0	101.0
54	322	칼	176.0	172.0
45	323	제일	176.0	39.0
440	324	탄스이카부츠	173.0	162.0
465	325	짝태먹태	173.0	77.0
133	326	탄스이카부츠	172.0	162.0
100	327	봉짬뽕	172.0	87.0
171	328	카카모루 성수점	167.0	162.0
359	329	노우노우바운즈	167.0	125.0
432	330	작야	167.0	100.0
437	331	토메루 성수점	164.0	160.0
260	332	에이셉피자 성수점	163.0	154.0
183	333	강호연파 성수 숲속산장점	158.0	152.0
197	334	마루제면소	157.0	152.0
191	335	성수일구	155.0	123.0
443	336	성수일구	155.0	123.0
463	337	JAFA Brewery	153.0	67.0
59	338	메종 성수돈	151.0	150.0
237	339	투그	148.0	146.0
120	340	웰컴차이나	147.0	84.0
366	341	MELD	145.0	103.0
117	342	미각짬뽕양꼬치	144.0	74.0
163	343	쿠시범	143.0	71.0
426	344	쿠시범	143.0	71.0
455	345	맥스카나	139.0	71.0
128	346	쉐프우	139.0	113.0
401	347	미러 성수	136.0	68.0
83	348	더블해피니스	134.0	133.0
17	349	우시야 성수점	133.0	131.0
375	350	위키드와이프	133.0	126.0
481	351	박가객주	131.0	93.0
328	352	맥파이앤타이거 성수티룸	121.0	119.0
119	353	송가	119.0	60.0
379	354	침묵을깨다	118.0	118.0
473	355	불난맥주 뚝섬역점	118.0	51.0
468	356	행운호프	118.0	76.0
269	357	에피타이트	118.0	114.0
466	358	룰루랄라 뚝섬역점	115.0	56.0
143	359	호감도	114.0	113.0
208	360	부우이	113.0	109.0
404	361	우오보 파스타 바	113.0	102.0
361	362	코너룸	110.0	72.0
450	363	란돌프서울숲	109.0	102.0
368	364	얼룩	109.0	62.0
469	365	무지개맥주 성수역점	109.0	108.0
108	366	육육면관	108.0	103.0
382	367	밤의,와인테라스 서울숲	108.0	108.0
132	368	만리장성 위례점2	103.0	56.0
376	369	제로드	103.0	99.0
456	370	생활맥주 성수 한라시그마밸리점	102.0	96.0
295	371	모센즈스위트 성수점	102.0	101.0
430	372	텐바	101.0	98.0
397	373	리타르단도	101.0	91.0
381	374	테이블 소사이어티 클럽	101.0	43.0
200	375	텐바	101.0	98.0
167	376	코치	99.0	95.0
441	377	코치	99.0	95.0
413	378	구스케이지	99.0	93.0
410	379	문화공간 성수	98.0	49.0
365	380	성수골목	98.0	46.0
483	381	원샷치킨	97.0	48.0
63	382	열기	95.0	94.0
448	383	성수스타우트	93.0	46.0
371	384	아카이브 서울	92.0	91.0
266	385	PEEPS	92.0	90.0
215	386	투파인드피터 서울성수점	88.0	87.0
384	387	DODODO	87.0	56.0
2	388	우리마키 성수점	87.0	83.0
152	389	스아게 성수점	87.0	84.0
363	390	곡성	86.0	46.0
387	391	모루타루	86.0	49.0
67	392	청년냉삼집	84.0	81.0
257	393	패티패티	83.0	81.0
388	394	레타주	82.0	37.0
477	395	오비광장	81.0	53.0
229	396	아파스타먼트	80.0	77.0
244	397	라지라프	80.0	80.0
124	398	부덕관	79.0	48.0
460	399	리퀴드랩	79.0	48.0
462	400	LAZZO	77.0	51.0
362	401	칠칠칠	76.0	76.0
270	402	패티앤베지스 성수	75.0	74.0
479	403	맥문동호프	75.0	40.0
415	404	브릴로	73.0	42.0
447	405	생활맥주 성수역1번출구점	71.0	71.0
383	406	디어민	71.0	71.0
92	407	살롱드호우섬 디타워서울포레스트점	70.0	69.0
370	408	오스테리아 로에로	68.0	66.0
89	409	바오 서울	68.0	65.0
377	410	스몰글라스	67.0	43.0
373	411	마이올드포스터	64.0	64.0
136	412	성수 수집	63.0	62.0
267	413	세밀	60.0	59.0
385	414	파라디	59.0	58.0
478	415	백두대간 성수점	58.0	26.0
372	416	Le vin	57.0	56.0
407	417	성수오오	57.0	57.0
