	id	title	kind_big	kind_small	kind_detail
466	358	룰루랄라 뚝섬역점	술집	맥주집	맥주,호프
143	359	호감도	맛집	일식	일식당
208	360	부우이	맛집	양식	양식
404	361	우오보 파스타 바	술집	와인바	와인
361	362	코너룸	술집	와인바	와인
450	363	란돌프서울숲	술집	맥주집	맥주,호프
368	364	얼룩	술집	와인바	와인
469	365	무지개맥주 성수역점	술집	맥주집	맥주,호프
108	366	육육면관	맛집	중식	중식당
382	367	밤의,와인테라스 서울숲	술집	와인바	와인
132	368	만리장성 위례점2	맛집	중식	중식당
376	369	제로드	술집	와인바	와인
456	370	생활맥주 성수 한라시그마밸리점	술집	맥주집	맥주,호프
295	371	모센즈스위트 성수점	카페	카페	카페,디저트
430	372	텐바	술집	이자카야	이자카야
397	373	리타르단도	술집	와인바	바(BAR)
381	374	테이블 소사이어티 클럽	술집	와인바	와인
200	375	텐바	맛집	일식	이자카야
167	376	코치	맛집	일식	일식튀김,꼬치
441	377	코치	술집	이자카야	일식튀김,꼬치
413	378	구스케이지	술집	와인바	바(BAR)
410	379	문화공간 성수	술집	와인바	와인
365	380	성수골목	술집	와인바	와인
483	381	원샷치킨	술집	맥주집	맥주,호프
63	382	열기	맛집	한식	육류,고기요리
448	383	성수스타우트	술집	맥주집	맥주,호프
371	384	아카이브 서울	술집	와인바	와인
266	385	PEEPS	맛집	양식	양식
215	386	투파인드피터 서울성수점	맛집	양식	이탈리아음식
384	387	DODODO	술집	와인바	와인
2	388	우리마키 성수점	맛집	한식	한식
152	389	스아게 성수점	맛집	일식	카레
363	390	곡성	술집	와인바	와인
387	391	모루타루	술집	와인바	와인
67	392	청년냉삼집	맛집	한식	육류,고기요리
257	393	패티패티	맛집	양식	햄버거
388	394	레타주	술집	와인바	와인
477	395	오비광장	술집	맥주집	맥주,호프
229	396	아파스타먼트	맛집	양식	양식
244	397	라지라프	맛집	양식	샌드위치
124	398	부덕관	맛집	중식	중식당
460	399	리퀴드랩	술집	맥주집	맥주,호프
462	400	LAZZO	술집	맥주집	맥주,호프
362	401	칠칠칠	술집	와인바	와인
270	402	패티앤베지스 성수	맛집	양식	햄버거
479	403	맥문동호프	술집	맥주집	맥주,호프
415	404	브릴로	술집	와인바	주류
447	405	생활맥주 성수역1번출구점	술집	맥주집	맥주,호프
383	406	디어민	술집	와인바	와인
92	407	살롱드호우섬 디타워서울포레스트점	맛집	중식	중식당
370	408	오스테리아 로에로	술집	와인바	와인
89	409	바오 서울	맛집	중식	중식당
377	410	스몰글라스	술집	와인바	차
373	411	마이올드포스터	술집	와인바	와인
136	412	성수 수집	맛집	일식	일식당
267	413	세밀	맛집	양식	양식
385	414	파라디	술집	와인바	와인
478	415	백두대간 성수점	술집	맥주집	맥주,호프
372	416	Le vin	술집	와인바	와인
407	417	성수오오	술집	와인바	와인
400	418	키ki	술집	와인바	바(BAR)
38	419	삼선 회사랑	맛집	한식	생선회
374	420	이지더즈잇	술집	와인바	와인
396	421	dxyz	술집	와인바	바(BAR)
425	422	타치노미바이토라	술집	이자카야	이자카야
205	423	데판야끼현	맛집	일식	이자카야
